sample	rep	unit	fq1	fq2
sample_157	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/157-S787-S588_L001_ds.943c1d5d79b74700b5ac61b4c5a986a1/157_S133_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/157-S787-S588_L001_ds.943c1d5d79b74700b5ac61b4c5a986a1/157_S133_L001_R2_001.fastq.gz
sample_158	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/158-S789-S579_L001_ds.ef0f02ca24fb4db1adf3285e8a16ecc8/158_S134_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/158-S789-S579_L001_ds.ef0f02ca24fb4db1adf3285e8a16ecc8/158_S134_L001_R2_001.fastq.gz
sample_159	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/159-S731-S571_L001_ds.67d3101204524e6bb20d7f6e6da7582c/159_S135_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/159-S731-S571_L001_ds.67d3101204524e6bb20d7f6e6da7582c/159_S135_L001_R2_001.fastq.gz
sample_160	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/160-P7152-P5119_L001_ds.dd2cfa5c6ea74ce08330cdc069b83b26/160_S1_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/160-P7152-P5119_L001_ds.dd2cfa5c6ea74ce08330cdc069b83b26/160_S1_L001_R2_001.fastq.gz
sample_221	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/221-P7146-P5117_L001_ds.8c5645069e5f47efbe126e382bff6b26/221_S2_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/221-P7146-P5117_L001_ds.8c5645069e5f47efbe126e382bff6b26/221_S2_L001_R2_001.fastq.gz
sample_222	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/222-P7143-P5111_L001_ds.4904fb17017e41939d7aa6f3f8c0bcff/222_S3_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/222-P7143-P5111_L001_ds.4904fb17017e41939d7aa6f3f8c0bcff/222_S3_L001_R2_001.fastq.gz
sample_223	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/223-P7142-P5109_L001_ds.bcc2e555e8704f1cbf2e2134a3c443d0/223_S4_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/223-P7142-P5109_L001_ds.bcc2e555e8704f1cbf2e2134a3c443d0/223_S4_L001_R2_001.fastq.gz
sample_224	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/224-P7141-P5108_L001_ds.13a179db2ae34d598843d0a2a8ceaa4e/224_S5_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/224-P7141-P5108_L001_ds.13a179db2ae34d598843d0a2a8ceaa4e/224_S5_L001_R2_001.fastq.gz
sample_253	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/253-P7133-P5107_L001_ds.299815d18f5b4917912d0416737f5fb9/253_S6_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/253-P7133-P5107_L001_ds.299815d18f5b4917912d0416737f5fb9/253_S6_L001_R2_001.fastq.gz
sample_254	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/254-P7148-P5136_L001_ds.81981eef783d4638bd93beb8dc2901b6/254_S7_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/254-P7148-P5136_L001_ds.81981eef783d4638bd93beb8dc2901b6/254_S7_L001_R2_001.fastq.gz
sample_255	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/255-P7126-P5134_L001_ds.319309f02b754eb9ba64805dfc5d8816/255_S8_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/255-P7126-P5134_L001_ds.319309f02b754eb9ba64805dfc5d8816/255_S8_L001_R2_001.fastq.gz
sample_256	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/256-P7159-P5138_L001_ds.9647c208bed045b994a900f0a9c8a516/256_S9_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/256-P7159-P5138_L001_ds.9647c208bed045b994a900f0a9c8a516/256_S9_L001_R2_001.fastq.gz
sample_277	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/277-P7158-P5137_L001_ds.9ad8d0a8bf01452db4a4e23da8146c0b/277_S10_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/277-P7158-P5137_L001_ds.9ad8d0a8bf01452db4a4e23da8146c0b/277_S10_L001_R2_001.fastq.gz
sample_278	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/278-P7157-P5129_L001_ds.ff92ea6ba4b542d89bb74c1cba5d7d61/278_S11_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/278-P7157-P5129_L001_ds.ff92ea6ba4b542d89bb74c1cba5d7d61/278_S11_L001_R2_001.fastq.gz
sample_279	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/279-P7155-P5125_L001_ds.d8e6db9733d347a39f4b3465dc6f8506/279_S12_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/279-P7155-P5125_L001_ds.d8e6db9733d347a39f4b3465dc6f8506/279_S12_L001_R2_001.fastq.gz
sample_280	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/280-P7154-P5124_L001_ds.513a611b25fc4f43a58015f3ebbd217a/280_S13_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/280-P7154-P5124_L001_ds.513a611b25fc4f43a58015f3ebbd217a/280_S13_L001_R2_001.fastq.gz
